id,name,odd,date
1448483299,Neymar,50.0,2022-06-21T04:34:19.579871
1448483298,Schick Patrik,500.0,2022-06-21T04:34:19.579871
1448483296,Benzema Karim,1.05,2022-06-21T16:23:21.420064
1448483295,Mane Sadio,13.0,2022-06-21T16:23:21.420064
1448483300,Salah Mohamed,15.0,2022-06-21T16:23:21.420064
1448483301,Messi Lionel,17.0,2022-06-21T16:23:21.420064
1448483293,Mbappé Kylian,20.0,2022-06-21T16:23:21.420064
1448483292,De Bruyne Kevin,25.0,2022-06-21T16:23:21.420064
1448483294,Lewandowski Robert,30.0,2022-06-21T16:23:21.420064
1448483297,Ronaldo Cristiano,40.0,2022-06-21T16:23:21.420064
1448483299,Neymar,50.0,2022-06-21T16:23:21.420064
1448483298,Schick Patrik,500.0,2022-06-21T16:23:21.420064
1448483296,Benzema Karim,1.05,2022-06-22T04:32:05.760331
1448483295,Mane Sadio,13.0,2022-06-22T04:32:05.760331
1448483300,Salah Mohamed,15.0,2022-06-22T04:32:05.760331
1448483301,Messi Lionel,17.0,2022-06-22T04:32:05.760331
1448483293,Mbappé Kylian,20.0,2022-06-22T04:32:05.760331
1448483292,De Bruyne Kevin,25.0,2022-06-22T04:32:05.760331
1448483294,Lewandowski Robert,30.0,2022-06-22T04:32:05.760331
1448483297,Ronaldo Cristiano,40.0,2022-06-22T04:32:05.760331
1448483299,Neymar,50.0,2022-06-22T04:32:05.760331
1448483298,Schick Patrik,500.0,2022-06-22T04:32:05.760331
1448483296,Benzema Karim,1.05,2022-06-22T16:21:47.747529
1448483295,Mane Sadio,13.0,2022-06-22T16:21:47.747529
1448483300,Salah Mohamed,15.0,2022-06-22T16:21:47.747529
1448483301,Messi Lionel,17.0,2022-06-22T16:21:47.747529
1448483293,Mbappé Kylian,20.0,2022-06-22T16:21:47.747529
1448483292,De Bruyne Kevin,25.0,2022-06-22T16:21:47.747529
1448483294,Lewandowski Robert,30.0,2022-06-22T16:21:47.747529
1448483297,Ronaldo Cristiano,40.0,2022-06-22T16:21:47.747529
1448483299,Neymar,50.0,2022-06-22T16:21:47.747529
1448483298,Schick Patrik,500.0,2022-06-22T16:21:47.747529
1448483296,Benzema Karim,1.05,2022-06-23T04:32:56.908634
1448483295,Mane Sadio,13.0,2022-06-23T04:32:56.908634
1448483300,Salah Mohamed,15.0,2022-06-23T04:32:56.908634
1448483301,Messi Lionel,17.0,2022-06-23T04:32:56.908634
1448483293,Mbappé Kylian,20.0,2022-06-23T04:32:56.908634
1448483292,De Bruyne Kevin,25.0,2022-06-23T04:32:56.908634
1448483294,Lewandowski Robert,30.0,2022-06-23T04:32:56.908634
1448483297,Ronaldo Cristiano,40.0,2022-06-23T04:32:56.908634
1448483299,Neymar,50.0,2022-06-23T04:32:56.908634
1448483298,Schick Patrik,500.0,2022-06-23T04:32:56.908634
1448483296,Benzema Karim,1.05,2022-06-23T16:21:40.365628
1448483295,Mane Sadio,13.0,2022-06-23T16:21:40.365628
1448483300,Salah Mohamed,15.0,2022-06-23T16:21:40.365628
1448483301,Messi Lionel,17.0,2022-06-23T16:21:40.365628
1448483293,Mbappé Kylian,20.0,2022-06-23T16:21:40.365628
1448483292,De Bruyne Kevin,25.0,2022-06-23T16:21:40.365628
1448483294,Lewandowski Robert,30.0,2022-06-23T16:21:40.365628
1448483297,Ronaldo Cristiano,40.0,2022-06-23T16:21:40.365628
1448483299,Neymar,50.0,2022-06-23T16:21:40.365628
1448483298,Schick Patrik,500.0,2022-06-23T16:21:40.365628
1448483296,Benzema Karim,1.05,2022-06-24T04:35:54.544114
1448483295,Mane Sadio,13.0,2022-06-24T04:35:54.544114
1448483300,Salah Mohamed,15.0,2022-06-24T04:35:54.544114
1448483301,Messi Lionel,17.0,2022-06-24T04:35:54.544114
1448483293,Mbappé Kylian,20.0,2022-06-24T04:35:54.544114
1448483292,De Bruyne Kevin,25.0,2022-06-24T04:35:54.544114
1448483294,Lewandowski Robert,30.0,2022-06-24T04:35:54.544114
1448483297,Ronaldo Cristiano,40.0,2022-06-24T04:35:54.544114
1448483299,Neymar,50.0,2022-06-24T04:35:54.544114
1448483298,Schick Patrik,500.0,2022-06-24T04:35:54.544114
1448483296,Benzema Karim,1.05,2022-06-24T16:20:26.603046
1448483295,Mane Sadio,13.0,2022-06-24T16:20:26.603046
1448483300,Salah Mohamed,15.0,2022-06-24T16:20:26.603046
1448483301,Messi Lionel,17.0,2022-06-24T16:20:26.603046
1448483293,Mbappé Kylian,20.0,2022-06-24T16:20:26.603046
1448483292,De Bruyne Kevin,25.0,2022-06-24T16:20:26.603046
1448483294,Lewandowski Robert,30.0,2022-06-24T16:20:26.603046
1448483297,Ronaldo Cristiano,40.0,2022-06-24T16:20:26.603046
1448483299,Neymar,50.0,2022-06-24T16:20:26.603046
1448483298,Schick Patrik,500.0,2022-06-24T16:20:26.603046
1448483296,Benzema Karim,1.05,2022-06-25T04:24:57.527705
1448483295,Mane Sadio,13.0,2022-06-25T04:24:57.527705
1448483300,Salah Mohamed,15.0,2022-06-25T04:24:57.527705
1448483301,Messi Lionel,17.0,2022-06-25T04:24:57.527705
1448483293,Mbappé Kylian,20.0,2022-06-25T04:24:57.527705
1448483292,De Bruyne Kevin,25.0,2022-06-25T04:24:57.527705
1448483294,Lewandowski Robert,30.0,2022-06-25T04:24:57.527705
1448483297,Ronaldo Cristiano,40.0,2022-06-25T04:24:57.527705
1448483299,Neymar,50.0,2022-06-25T04:24:57.527705
1448483298,Schick Patrik,500.0,2022-06-25T04:24:57.527705
1448483296,Benzema Karim,1.05,2022-06-25T16:18:45.431926
1448483295,Mane Sadio,13.0,2022-06-25T16:18:45.431926
1448483300,Salah Mohamed,15.0,2022-06-25T16:18:45.431926
1448483301,Messi Lionel,17.0,2022-06-25T16:18:45.431926
1448483293,Mbappé Kylian,20.0,2022-06-25T16:18:45.431926
1448483292,De Bruyne Kevin,25.0,2022-06-25T16:18:45.431926
1448483294,Lewandowski Robert,30.0,2022-06-25T16:18:45.431926
1448483297,Ronaldo Cristiano,40.0,2022-06-25T16:18:45.431926
1448483299,Neymar,50.0,2022-06-25T16:18:45.431926
1448483298,Schick Patrik,500.0,2022-06-25T16:18:45.431926
1448483296,Benzema Karim,1.05,2022-06-26T04:27:06.945584
1448483295,Mane Sadio,13.0,2022-06-26T04:27:06.945584
1448483300,Salah Mohamed,15.0,2022-06-26T04:27:06.945584
1448483301,Messi Lionel,17.0,2022-06-26T04:27:06.945584
1448483293,Mbappé Kylian,20.0,2022-06-26T04:27:06.945584
1448483292,De Bruyne Kevin,25.0,2022-06-26T04:27:06.945584
1448483294,Lewandowski Robert,30.0,2022-06-26T04:27:06.945584
1448483297,Ronaldo Cristiano,40.0,2022-06-26T04:27:06.945584
1448483299,Neymar,50.0,2022-06-26T04:27:06.945584
1448483298,Schick Patrik,500.0,2022-06-26T04:27:06.945584
1448483296,Benzema Karim,1.05,2022-06-26T16:18:26.728589
1448483295,Mane Sadio,13.0,2022-06-26T16:18:26.728589
1448483300,Salah Mohamed,15.0,2022-06-26T16:18:26.728589
1448483301,Messi Lionel,17.0,2022-06-26T16:18:26.728589
1448483293,Mbappé Kylian,20.0,2022-06-26T16:18:26.728589
1448483292,De Bruyne Kevin,25.0,2022-06-26T16:18:26.728589
1448483294,Lewandowski Robert,30.0,2022-06-26T16:18:26.728589
1448483297,Ronaldo Cristiano,40.0,2022-06-26T16:18:26.728589
1448483299,Neymar,50.0,2022-06-26T16:18:26.728589
1448483298,Schick Patrik,500.0,2022-06-26T16:18:26.728589
1448483296,Benzema Karim,1.05,2022-06-27T04:48:30.987400
1448483295,Mane Sadio,13.0,2022-06-27T04:48:30.987400
1448483300,Salah Mohamed,15.0,2022-06-27T04:48:30.987400
1448483301,Messi Lionel,17.0,2022-06-27T04:48:30.987400
1448483293,Mbappé Kylian,20.0,2022-06-27T04:48:30.987400
1448483292,De Bruyne Kevin,25.0,2022-06-27T04:48:30.987400
1448483294,Lewandowski Robert,30.0,2022-06-27T04:48:30.987400
1448483297,Ronaldo Cristiano,40.0,2022-06-27T04:48:30.987400
1448483299,Neymar,50.0,2022-06-27T04:48:30.987400
1448483298,Schick Patrik,500.0,2022-06-27T04:48:30.987400
1448483296,Benzema Karim,1.03,2022-06-27T16:20:55.235237
1448483295,Mane Sadio,15.0,2022-06-27T16:20:55.235237
1448483301,Messi Lionel,17.0,2022-06-27T16:20:55.235237
1448483300,Salah Mohamed,20.0,2022-06-27T16:20:55.235237
1448483294,Lewandowski Robert,30.0,2022-06-27T16:20:55.235237
1448483292,De Bruyne Kevin,35.0,2022-06-27T16:20:55.235237
1448483293,Mbappé Kylian,40.0,2022-06-27T16:20:55.235237
1448483297,Ronaldo Cristiano,50.0,2022-06-27T16:20:55.235237
1448483299,Neymar,60.0,2022-06-27T16:20:55.235237
1448483298,Schick Patrik,500.0,2022-06-27T16:20:55.235237
1448483296,Benzema Karim,1.03,2022-06-28T04:38:38.840398
1448483295,Mane Sadio,15.0,2022-06-28T04:38:38.840398
1448483301,Messi Lionel,17.0,2022-06-28T04:38:38.840398
1448483300,Salah Mohamed,20.0,2022-06-28T04:38:38.840398
1448483294,Lewandowski Robert,30.0,2022-06-28T04:38:38.840398
1448483292,De Bruyne Kevin,35.0,2022-06-28T04:38:38.840398
1448483293,Mbappé Kylian,40.0,2022-06-28T04:38:38.840398
1448483297,Ronaldo Cristiano,50.0,2022-06-28T04:38:38.840398
1448483299,Neymar,60.0,2022-06-28T04:38:38.840398
1448483298,Schick Patrik,500.0,2022-06-28T04:38:38.840398
1448483296,Benzema Karim,1.03,2022-06-28T16:21:47.401676
1448483295,Mane Sadio,15.0,2022-06-28T16:21:47.401676
